cate1,Q,A,paragraph
부정청탁 및 금품수수 금지,국회의원이 특정 제3자의 고충민원을 전달한 경우 부정청탁의 예외사유에 해당하나요?,"선출직 공직자, 정당, 시민단체 등이 공익적인 목적으로 제3자의 고충민원을 전달하거나 법령·기준의 제정·개정·폐지 또는 정책·사업·제도 및 그 운영 등의 개선에 관하여 제안·건의하는 행위는 예외사항에 해당합니다. ","부정청탁의 예외 사유는 다음과 같습니다. 법령·기준에서 정한 절차·방법에 따라 요구하는 행위: 청원법, 민원사무 처리에 관한 법률, 행정절차법, 국회법 및 그 밖의 다른 법령·기준에서 정하는 절차·방법에 따라 권리침해의 구제·해결을 요구하거나 그와 관련된 법령·기준의 제정·개정·폐지를 제안·건의하는 등 특정한 행위를 요구하는 행위는 예외사항에 해당합니다. 공개적으로 특정한 행위를 요구하는 행위: 공개적으로 공직자 등에게 특정한 행위를 요구하는 행위는 예외사항에 해당합니다. 공익적 목적의 고충민원 전달 행위:선출직 공직자, 정당, 시민단체 등이 공익적인 목적으로 제3자의 고충민원을 전달하거나 법령·기준의 제정·개정·폐지 또는 정책·사업·제도 및 그 운영 등의 개선에 관하여 제안·건의하는 행위는 예외사항에 해당합니다. 그 밖에 법정기한 내 업무 처리 요구 등: 공공기관에 직무를 법정기한 안에 처리하여 줄 것을 신청·요구하거나 그 진행상황·조치결과 등에 대하여 확인·문의 등을 하거나 직무 또는 법률관계에 관한 확인·증명 등을 신청·요구하거나 질의 또는 상담형식을 통하여 직무에 관한 법령·제도·절차 등에 대하여 설명이나 해석을 요구하는 행위, 직무·법률관계에 관한 확인·증명 등 신청·요구. 질의·상담을 통한 법령·제도 등 설명·해석 요구하는 행위는 예외사항에 해당합니다. 그 밖에 사회상규에 위배되지 않는 것으로 인정되는 행위는 예외사항에 해당합니다. 구체적인 사례의 청탁금지법 위반 여부는 국민권익위원회(110, 1398)에 문의하시기 바랍니다."
부정청탁 및 금품수수 금지,부정청탁의 금지에 관한 법률의 적용 대상자가 궁금합니다.,"국가·지방공무원, 공직유관단체 및 공공기관의 장과 임직원, 각급학교의 장과 교직원, 학교법인의 임직원, 언론사의 대표자와 임직원, 공직자 등의 배우자, 공무수행사인, 공직자 등에게 부정청탁을 하거나 수수 금지 금품 등을 제공한 자","부정청탁 및 금품등 수수의 금지에 관한 법률의 적용 대상기관은 국회, 법원, 헌법재판소, 선거관리위원회, 감사원, 국가인권위원회, 중앙행정기관과 그 소속 기관 및 지방자치단체, 공직유관단체, 공공기관, 사립학교를 포함한 각급 학교, 학교법인, 언론사입니다. 적용 대상자는 국가·지방공무원, 공직유관단체 및 공공기관의 장과 임직원, 각급학교의 장과 교직원, 학교법인의 임직원, 언론사의 대표자와 임직원, 공직자 등의 배우자, 공무수행사인, 공직자 등에게 부정청탁을 하거나 수수 금지 금품 등을 제공한 자입니다. 부정청탁 및 금품등 수수의 금지에 관한 법률은 다음의 어느 하나에 해당하는 기관 및 단체에 적용됩니다. 청탁금지법은 다음의 어느 하나에 해당하는 사람에게 적용됩니다. 의사도 공직자 등에 해당하나요? 세브란스병원 의사 甲과 삼성서울병원 의사 乙이 청탁금지법의 적용대상인가요? 甲은 ‘공직자 등’에 해당하여 청탁금지법의 적용대상이나, 乙은 ‘공직자 등’에 해당하지 않아 청탁금지법의 적용대상이 아닙니다.세브란스병원은 학교법인 연세대학교 소속 부속병원이므로, 세브란스병원의사 甲은 청탁금지법의 적용대상인 ‘공직자 등’에 해당합니다.삼성서울병원은 삼성생명공익재단이 설립한 병원으로서 성균관대학교와 교육협력협약을 체결한 협력병원이므로, 삼성서울병원 의사 乙은 청탁금지법 적용대상인 ‘공직자 등’에 해당하지 않습니다. "
북한이탈주민,북한이탈주민이 사립인 학교에 편입하면 어떤 경우에 지원을 보조받지 못하나요?,직전 두 학기 평균 성적이 각각 만점의 70% 미만인 경우,"북한이탈주민의 보호 및 정착지원에 관한 법률에 따른 보호대상자의 나이나 수학능력 등에 따라 대한민국에서 교육을 받을 수 있도록 필요한 지원을 받을 수 있습니다. 보호대상자의 나이, 수학능력, 그 밖의 교육 여건 등에 따라 교육에 필요한 지원을 받을 수 있습니다. 국내의 각급 학교에 입학 또는 편입학하려는 보호대상자는 각각의 지원기준에 따라 교육지원을 받을 수 있습니다. 산업수요 맞춤형 고등학교 및 특성화고등학교에 입학 또는 편입학한 사람에 대해서는 생활비 일부를 지원받을 수 있습니다. ② 사립인 학교에 입학 또는 편입한 경우에는 입학금·수업료 등이 반액 보조되며, 직전 두 학기 평균 성적이 각각 만점의 70% 미만인 경우에는 보조받지 못할 수도 있습니다. ③ 이에 해당하는 사람은 거주지 보호기간 중이거나 고등학교 졸업 또는 이와 같은 수준 이상의 학력이 있다고 인정된 후 5년 이내에 입학 또는 편입학한 경우에만 해당합니다. ④ 이에 따른 지원은 해당 보호대상자가 최초로 입학 또는 편입학한 날부터 6년의 범위에서 8학기를 초과할 수 없습니다. ② 사립인 학교에 입학 또는 편입한 경우에는 입학금·수업료 등이 반액 보조되며, 직전 두 학기 평균 성적이 각각 만점의 70% 미만인 경우에는 보조받지 못할 수도 있습니다. "
북한이탈주민,북한에서 공무원이었던 사람들에게는 취업의 특혜가 없나요?,"북한에서 공무원이었던 사람이 대한민국의 공무원에 채용되길 원하하면 북한을 벗어나기 전의 계급, 직책 및 경력 등에 따라 공무원으로 특별임용될 수 있습니다.","북한에서의 자격이나 경력에 따라 공무원으로 특별임용될 수 있습니다. 북한에서의 자격이나 경력이 있는 사람 등 북한이탈주민으로서 공무원으로 채용되길 원하는 사람은 북한을 벗어나기 전의 자격·경력 등을 고려하여 국가공무원으로 특별임용될 수 있습니다. 특별임용은 북한의 각급 행정기관, 공공기관 등에서 근무한 경력이 있거나 임용 희망 분야의 관련 자격이 있는 사람 또는 통일부장관이 국방부장관과 협의하여 정하는 사람에 한정됩니다. 공무원 특별임용을 희망하는 보호대상자는 특별임용 신청서에 자격증명서 사본, 그 밖에 취업에 필요한 서류를 첨부하여 통일부에 제출하면 됩니다. 공무원 특별임용을 신청하는 보호대상자가 전자정부법 제36조제1항에 따른 행정정보의 공동이용에 동의하지 않은 경우에는 국가기술자격증 사본을 제출해야 합니다. 공무원 특별임용을 신청한 보호대상자는 공무원 인사 관계 법령에 따라 우선적으로 특별채용될 수 있으며, 이 경우 해당 특별채용에 부과되는 필기시험을 면제받을 수 있습니다."
불량식품,불량식품 신고를 하면 어떤 보상이 지급되나요?,포상금이 지급됩니다.,"불량식품 신고를 하려는 사람은 식품안전소비자신고센터에 전화나 인터넷, 또는 스마트폰 등을 이용하여 신고할 수 있으며, 식품의약품안전처장이나 시ㆍ도지사 또는 시장ㆍ군수ㆍ구청장은 불량식품을 신고한 자에게 신고 내용별로 1천만원까지 포상금을 지급할 수 있습니다. 식품의약품안전처에서는 불량식품에 대한 소비자신고를 활성화하고 신속한 조사를 통해 불량식품 등으로 인한 피해방지 및 국민건강을 보호하기 위해 식품의약품안전처 통합민원상담서비스를 운영하고 있습니다. 불량식품을 신고하려는 사람은 다음의 방법으로 불량식품신고를 할 수 있습니다. 위반 행위를 신고하려는 경우에는 다음과 같은 사항과 함께 신고내용을 명백히 할 수 있는 증거와 함께 신고해야 접수·처리 됩니다. 신고인의 성명, 주소, 주민등록번호, 연락처를 반드시 기재해야 합니다. 피신고인의 업소명칭, 소재지, 제품정보, 위반행위 등 신고 내용을 반드시 기재해야 합니다. 식품위생법을 위반하여 불량식품의 제조·유통 행위는 국민의 건강과 안전, 환경, 소비자의 이익, 공정한 경쟁 및 이에 준하는 공공의 이익을 침해하는 행위로서 국민권익위원회에 공익침해행위로 신고할 수 있습니다. 이에 따라 불량식품으로 인해 공익을 침해받을 위험이 있다고 판단되는 경우에는 국민권익위원회 홈페이지 공익신고하기나 공익침해 신고전화를 통해 신고하시면 됩니다. 불량식품 신고자에게는 포상금이 지급됩니다. "
불량식품,불량식품이 정확히 어떤 식품을 말하는지 잘 모르겠습니다. 어떤 식품을 불량식품이라고 하나요?,"식품의 제조, 가공, 유통 등의 과정에서 식품위생관련법규를 준수하지 않고 생산·유통·판매되는 식품으로 질이나 상태가 좋지 않아 식품 섭취 시 인체의 건강을 해칠 우려가 있는 식품을 말합니다.","불량식품이란 식품의 제조, 가공, 유통 등의 과정에서 식품위생관련법규를 준수하지 않고 생산ㆍ유통ㆍ판매되는 식품으로 질이나 상태가 좋지 않아 식품 섭취 시 인체의 건강을 해칠 우려가 있는 식품을 말합니다. 대표적인 불량식품에는 ① 위해식품, ② 병든 동물고기 등을 사용한 식품, ③ 기준ㆍ규격이 고지되지 않은 화학첨가물 등이 첨가된 식품, ④ 유독기구 등을 사용한 식품, ⑤ 기준과 규격이 정해지지 않은 포장을 사용한 식품, ⑥ 허위표시ㆍ과대포장 등을 한 식품 등이 있습니다. 식품에 제조업소의 이름과 소재지 등의 표시가 없거나 식품등록 또는 허가출원중이라는 등 애매한 표시가 있는 것, 색깔이 유난히 짙거나 곱고, 이상한 맛이나 냄새가 나거나, 유난히 부풀어 있는 식품 등은 일단 부정불량식품으로 의심할 수 있습니다. 불량식품에 관한 지식과 정보, 왜 중요할까요? 훌륭한 영양상태는 좋은 음식을 충분히 섭취할 때 가능한데, 어린 아이들은 음식섭취와 관련한 지식이 부족하고 자신의 기호에 맞는 식품을 선택하는 경향이 있어서 아무 음식이나 무분별하게 먹을 가능성이 큽니다. 특히 어린이들이 많이 모이는 학교주변이나 놀이터와 같은 곳에서 판매되는 식품의 다수는 아이들 성장에 부적합한 불량식품이거나 고열량 식품이어서 아이들의 건강을 해칠 위험이 있습니다. 따라서 아이들이 먹을 좋은 식품을 선택하기 위해선 무엇이 불량식품이고 어떤 것이 좋은식품인지를 구별해 낼 수 있는 지식과 정보가 필요합니다. "
비영리 사단법인,비영리 사단법인 중 목적사업은 무엇인가요?,법인의 설립목적을 수행하기 위한 사업,"비영리사단법인은 그 설립목적의 취지에 따른 목적사업을 수행합니다. 목적사업이란 법인의 설립목적을 수행하기 위한 사업을 말합니다. 목적사업이란 법인 설립허가를 신청할 때 제출한 사업계획서 등에 기재된 목적사업을 말합니다. 비영리 사단법인에 출연된 재산은 법인의 목적사업 운영에 사용되어야 합니다. 비영리 사단법인은 영리를 추구하지 않는 목적사업을 운영해야 합니다. 따라서 목적사업으로 발생한 수익을 사원 등에게 배분하지 않아야 합니다. 다만, 비영리사업의 목적을 달성하는데 필요하여 그 본질에 반하지 않는 정도의 영리행위는 할 수 있습니다. 비영리 사단법인이 비영리사업의 목적달성에 필요한 수익사업을 영위하는 경우에는 관할세무서에 사업자등록 및 수익사업 개시신고 등을 해야 합니다."
비영리 사단법인,비영리 사단법인이 해산사유에 대해 말해줘,"①법인의 존립기간 만료 및 정관에 정한 해산사유가 발생한 경우, ②법인의 목적달성 또는 달성이 불가능한 경우, ③파산, ④설립허가 취소, ⑤비영리사단법인의 특별 해산사유가 발생한 경우","비영리사단법인은 목적달성 또는 일정한 사유의 발생으로 법인은 해산됩니다. 여기서 법인은 자연인과 같은 상속이라는 제도가 없으므로 재산관계를 정리하기 위하여 일정한 절차를 거치게 됩니다. 법인의 해산이란, 법인이 본래의 목적달성을 위한 적극적인 활동을 그치고 청산절차로 들어가는 것을 말합니다. 법인의 해산사유에는 ①법인의 존립기간 만료 및 정관에 정한 해산사유가 발생한 경우, ②법인의 목적달성 또는 달성이 불가능한 경우, ③파산, ④설립허가 취소, ⑤비영리사단법인의 특별 해산사유가 발생한 경우에 법인은 해산됩니다. 해산으로 법인의 권리능력이 바로 소멸하는 것은 아니며, 청산에 필요한 정도로 제한될 뿐이므로 해산 후 청산이 종결될 때까지 법인은 제한된 범위에서 권리능력을 가집니다. 비영리사단법인의 해산과 관련하여 법원의 검사·감독을 받습니다. 법인의 존립 시기나 해산사유는 비영리사단법인에서는 정관의 필요적 기재사항이고, 존립시기가 만료되면 법인은 해산됩니다. 법인의 설립목적이 달성되어 더 이상 목적을 달성할 것이 없는 경우 또는 본래 설립목적 달성이 불가능한 경우 법인은 해산됩니다. 법인의 목적달성 또는 달성불능은 사회 관념에 따라 판단되나, 법인의 목적달성이 불가능하더라도 정관의 목적을 변경하면 법인을 해산할 필요는 없습니다."
비영리 재단법인,비영리재단법인의 기본재산 처분에 따른 등기의 기한이 궁금합니다. ,3주 이내,"기본재산 취득에 대해서도 주무관청의 허가를 받아야 합니다. 따라서 기본재산 취득에 대해 취득사유서, 취득한 재산의 종류·수량·금액을 기재한 서류, 취득한 재산의 등기사항증명서 또는 금융기관의 증명서, 이사회의사록 등을 제출해야 합니다. 주무관청으로부터 기본재산 처분 및 취득에 따른 정관변경허가서를 받은 날부터 3주 이내에 기본재산 처분에 관한 등기를 해야 합니다. ‘기본재산 처분 및 취득으로 인한 자산의 총액 및 변경취지와 그 연월일을 기재’한 법인자산 변경등기 신청서, 주무관청의 허가서, 자산총액의 변경을 증명하는 서면 또는 기본재산의 처분 등을 결의한 공증 받은 이사회의사록 등을 함께 제출해야 합니다. 법인은 납입한 자산금액 또는 재산가액의 1000분의 2를 등록면허세로 납부해야 하고, 그 금액이 112,500원 이하인 경우에는 112,500원이 등록면허세액이 됩니다. 법인을 대도시에 설립한 후 또는 지방세법 시행령제27조제1항에서 정하는 휴면법인을 인수한후, 5년 이내에 자본 또는 출자액이 증가하는 경우에는 그 등록면허세는 3배로 가산됩니다. 지방교육세는 등록면허세액의 100분의 20을 납부합니다. 조세특례제한법, 관세법 및 지방세법에 의해 등록면허세가 감면되는 경우에는 농어촌특별세로 감면되는 등록세의 100분의 20을 납부해야 합니다. 등기신청수수료는 6,000원입니다. 법인은 매사업연도 종료 후 관련된 수지예산서 및 수지결산서를 작성합니다."
비영리 재단법인,비영리 재단법인이 해산될 경우에 잔여재산을 어떻게 처분해야 되나요?,"해산한 비영리재단법인의 잔여재산은 정관으로 지정한 사람에게 귀속되는데, 정관으로 지정하지 않았거나 또는 지정하는 방법을 정하지 않은 경우에는 주무관청의 허가를 받아서 유사한 목적을 위해 재산을 처분해야 합니다.","비영리재단법인이 해산하는 경우에는 잔여재산은 정관의 규정에 따라 처분됩니다. 해산한 비영리재단법인의 잔여재산은 정관으로 지정한 사람에게 귀속되는데, 정관으로 지정하지 않았거나 또는 지정하는 방법을 정하지 않은 경우에는 주무관청의 허가를 받아서 유사한 목적을 위해 재산을 처분해야 합니다. 해산한 비영리재단법인의 잔여재산 처분에 대한 절차는 각 주무관청마다 다르기 때문에 해당 주무관청에 문의를 해야 합니다. 주무관청에 잔여재산처분허가신청서와 아래의 서류들을 제출합니다. 법인의 처분되지 않은 재산은 국가의 재산으로 귀속됩니다."
"비자,여권,국적",국적선택제도가 무엇인가요?,대한민국 국적과 외국 국적을 함께 가지게 된 복수국적자에 대해 국적선택 기간 안에 하나의 국적을 선택하도록 요구하는 제도,"국적선택제도란 대한민국 국적과 외국 국적을 함께 가지게 된 복수국적자에 대해 국적선택 기간 안에 하나의 국적을 선택하도록 요구하는 제도를 말합니다. 만 20세가 되기 전에 복수국적자가 된 사람은 만 22세가 되기 전까지, 만 20세가 된 후에 복수국적자가 된 사람은 그 때부터 2년 내에 대한민국 국적을 선택한다는 뜻 또는 대한민국 국적을 이탈한다는 뜻을 법무부장관에게 신고해야 합니다. 출생이나 그 밖에 국적법에 따라 대한민국 국적과 외국 국적을 함께 가지게 된 사람으로서 다음의 어느 하나에 해당하는 사람은 대한민국의 법령 적용에서 대한민국 국민으로만 처우합니다. 복수국적자가 관계 법령에 따라 외국 국적을 보유한 상태에서 직무를 수행할 수 없는 분야에 종사하려는 경우에는 외국 국적을 포기해야 합니다. 국적선택제도란 국적법에 규정된 사유들로 인해 대한민국 국적과 외국 국적을 함께 가지게 된 복수국적자에 대해 국적선택 기간 안에 반드시 하나의 국적을 선택하도록 요구하는 제도를 말합니다. 만 20세가 되기 전에 복수국적자가 된 사람은 만 22세가 되기 전까지, 만 20세가 된 후에 복수국적자가 된 사람은 그 때부터 2년 내에 하나의 국적을 선택해야 합니다. 다만, 국적법 제10조제2항에 따라 법무부장관에게 대한민국에서 외국 국적을 행사하지 않겠다는 뜻을 서약한 복수국적자는 제외합니다. 다만, 국적법 제12조제1항 본문에도 불구하고 병역법 제8조에 따라 병역준비역에 편입된 사람은 편입된 때부터 3개월 이내에 하나의 국적을 선택하거나 다음의 어느 하나에 해당하는 때부터 2년 이내에 하나의 국적을 선택해야 합니다. 미국 시민권을 가진 복수국적의 남자로서 병역을 모두 이행하였습니다. 두 국적을 모두 보유하고 싶은데 방법이 있나요? "
"비자,여권,국적",여권발급신청은 반드시 본인이 해야 하나요?,본인이 직접 신청,"일반여권은 대한민국 재외공관이나 전국의 여권사무대행기관에서 발급합니다. 여권 발급 신청은 원칙적으로 여권발급신청서와 필요한 서류들을 제출하여 본인이 직접 해야 합니다. 일반여권은 대한민국 재외공관이나 전국의 여권사무 대행기관에서 발급합니다. 여권의 발급은 신청서 작성 및 접수 → 신원조사 확인 → 신원조사 → 결과회보 → 여권서류심사 → 여권제작 → 여권발급의 절차에 따라 이루어집니다. 여권을 발급받으려는 사람은 여권의 발급을 신청할 때 다음의 정보를 제공해야 합니다. 다만, 지문은 여권발급 과정에서 본인 여부를 확인하기 위한 목적 외에는 수집·보관·관리할 수 없으며 그 보관 및 관리 기간은 3개월 이내입니다. 다음의 어느 하나에 해당하는 사람은 여권 발급을 신청할 때에 지문을 제공하지 않을 수 있습니다. 외교부장관은 장애인복지법 제2조제2항에 따라 제1급부터 제3급까지의 장애등급에 해당하는 시각장애인이 여권의 발급을 신청하는 경우 시각장애인용 점자 여권을 발급할 수 있습니다. 여권 발급 신청은 원칙적으로 본인이 직접 해야 합니다. 다만, 다음의 어느 하나에 해당하는 사람은 대리인으로 하여금 여권의 발급을 신청하게 할 수 있습니다. 대리인이 여권의 발급을 신청할 경우 대리인은 주민등록증, 자동차운전면허증, 여권 등 외교부장관이 정하는 신분증을 내보여야 하며, 신청인의 신분증 사본과 위임장 및 다음의 서류 중에서 대리관계 및 그 사유를 증명할 수 있는 서류를 첨부해야 합니다. 일반여권을 발급받으려는 사람은 다음의 서류를 외교부장관에게 제출해야 합니다. 여권발급에 필요한 자세한 서류는 외교부 여권안내 홈페이지-여권발급-일반여권에서 확인 또는 문의하실 수 있습니다. 여권 등의 발급, 재발급을 받으려는 해외여행자는 외교부장관에게 수수료를 납부해야 합니다. 다만, 여권 사무를 대행하는 지방자치단체의 장에게 여권 등의 발급, 재발급을 신청하는 경우에는 그 지방자치단체의 장에게 수수료를 납부해야 합니다. "
사회적기업,사회적기업의 설립을 위해 사회적기업진흥원은 어떤 것들을 지원하고 있나요?,"창업비, 멘토링서비스 및 교육기회 제공 등의 지원","사회적기업의 설립을 위해 고용노동부 및 사회적기업진흥원은 창업비, 멘토링서비스 및 교육기회 제공 등의 지원을 하고 있습니다. 창업팀에게 창업에 필요한 업무공간을 제공함으로써 창업에 전념할 수 있도록 지원합니다. 창업활동에 필요한 일반 운영비, 여비 및 활동비가 운영경비로 지원됩니다. 의무 교육비, 담임 멘토링비, 전문 멘토링비, 회계 정산비가 간접 사업비로 지원됩니다. 상품화 개발비, 기자재 구입비가 사업모델 개발비로 지원됩니다. 창업팀 당 평균 3천만원 내외 차등 지원됩니다. 멘토를 통해 경영, 창업 자문 등의 지원과 전문가 및 전문기관과의 연계 등 창업 전 과정에 걸쳐 상시적인 자문이 지원됩니다. 창업 및 창업 이후의 안정적인 성장을 위한 다양한 대내외 자원과 연계될 수 있도록 지원됩니다. 사회적기업가 육성사업을 통해 창업한 기업의 경쟁력을 강화하고, 안정적인 성장을 지원하기 위해 사무공간, 멘토링 등을 제공합니다. 고용노동부장관은 사회적기업의 설립에 필요한 전문인력의 육성, 사회적기업 근로자의 능력향상을 위해 교육훈련을 실시할 수 있습니다. 한국사회적기업진흥원은 사회적기업의 경영 성과를 극대화하고 궁극적으로 지속 가능한 사회적기업으로 발전시키기 위해 아카데미를 운영하고 있습니다. 한국사회적기업진흥원이 창업을 위해 지원하는 교육등에 관한 자세한 정보는 한국사회적기업진흥원, 사회적기업가 양성, 아카데미 에서 확인하실 수 있습니다."
사회적기업,사회적기업을 설립해 운영하려고 합니다. 사회적기업은 설립 시에도 지원을 받을 수 있다던데 어디에 신청해야 하나요?,한국사회적기업진흥원,"사회적기업의 설립을 위해 고용노동부 및 사회적기업진흥원은 창업비, 멘토링서비스 및 교육기회 제공 등의 지원을 하고 있습니다. 창업팀에게 창업에 필요한 업무공간을 제공함으로써 창업에 전념할 수 있도록 지원합니다. 창업활동에 필요한 일반 운영비, 여비 및 활동비가 운영경비로 지원됩니다. 의무 교육비, 담임 멘토링비, 전문 멘토링비, 회계 정산비가 간접 사업비로 지원됩니다. 상품화 개발비, 기자재 구입비가 사업모델 개발비로 지원됩니다. 창업팀 당 평균 3천만원 내외 차등 지원됩니다. 멘토를 통해 경영, 창업 자문 등의 지원과 전문가 및 전문기관과의 연계 등 창업 전 과정에 걸쳐 상시적인 자문이 지원됩니다. 창업 및 창업 이후의 안정적인 성장을 위한 다양한 대내외 자원과 연계될 수 있도록 지원됩니다. 사회적기업가 육성사업을 통해 창업한 기업의 경쟁력을 강화하고, 안정적인 성장을 지원하기 위해 사무공간, 멘토링 등을 제공합니다. 고용노동부장관은 사회적기업의 설립에 필요한 전문인력의 육성, 사회적기업 근로자의 능력향상을 위해 교육훈련을 실시할 수 있습니다. 한국사회적기업진흥원은 사회적기업의 경영 성과를 극대화하고 궁극적으로 지속 가능한 사회적기업으로 발전시키기 위해 아카데미를 운영하고 있습니다. 한국사회적기업진흥원이 창업을 위해 지원하는 교육등에 관한 자세한 정보는 한국사회적기업진흥원, 사회적기업가 양성, 아카데미 에서 확인하실 수 있습니다."
산업융합 규제샌드박스,산업융합 신제품 및 서비스의 시장출시를 위해 임시로 허가를 부여하는 제도를 뭐라고 하나요?,임시허가제도,“임시허가”제도란 산업융합 신제품 및 서비스의 시장출시를 위해 임시로 허가를 부여하는 제도를 말합니다. 산업융합 신제품·서비스를 활용하여 사업을 하려는 자는 다음의 어느 하나에 해당하는 경우 산업통상자원부장관에게 해당 산업융합 신제품·서비스에 대해 임시허가를 신청할 수 있습니다. 임시허가를 신청하려는 자는 임시허가 신청서에 다음의 서류를 첨부하여 산업통상자원부장관에게 제출해야 합니다. 사업실시계획서에는 다음의 사항이 포함되어야 합니다. 산업통상자원부장관은 위의 신청 내용에 보완이 필요하다고 판단하는 경우에는 기간을 정하여 보완을 요청할 수 있습니다. 산업통상자원부장관은 위에 따른 신청이 다음의 어느 하나에 해당하는 경우에는 해당 신청을 반려할 수 있습니다. 그 밖에 임시허가 제도에 관한 자세한 내용은 산업융합 신제품·서비스 규제특례 운영규정 또는 산업통상자원부 산업융합 규제샌드박스 홈페이지에서 확인할 수 있습니다.
산업융합 규제샌드박스,산업융합 제도에 대한 임시허가의 유효기간은 누가 정해요?,규제특례심의위원회,"산업통상자원부장관은 임시허가를 하는 경우에는 임시허가서를 발급해야 하며, 그 사실을 관보 또는 산업통상자원부의 인터넷 홈페이지에 공고해야 합니다. 임시허가의 유효기간은 2년 이하의 범위에서 규제특례심의위원회가 정합니다. 유효기간의 만료 전에 임시허가의 대상이 되는 산업융합 신제품·서비스에 대한 허가·승인·인증·검증·인가 등의 근거가 되는 법령이 정비되지 않은 경우 산업통상자원부장관은 유효기간을 1회 연장할 수 있습니다. 위에 따라 연장된 임시허가의 유효기간 내에 허가등의 근거가 되는 법령 정비가 완료되지 않은 경우에는 법령 정비가 완료될 때까지 유효기간이 연장되는 것으로 봅니다. 임시허가 유효기간을 연장 받으려는 자는 유효기간 만료 2개월 전에 산업통상자원부장관에게 신청해야 합니다. 임시허가 유효기간을 연장받으려는 자는 임시허가 유효기간 연장 신청서에 다음의 서류를 첨부하여 산업통상자원부장관에게 제출해야 합니다. 임시허가의 유효기간을 연장받은 경우에는 임시허가연장서를 발급받게 됩니다. 임시허가를 받은 자는 해당 산업융합 신제품·서비스에 대한 허가등의 근거가 되는 법령이 마련된 경우 지체 없이 그 법령에 따라 허가등을 받아야 합니다. 그 밖에 임시허가 제도에 관한 자세한 내용은 산업융합 신제품·서비스 규제특례 운영규정 또는 산업통상자원부 산업융합 규제샌드박스 홈페이지에서 확인할 수 있습니다."
산업재해보상보험,산업재해보상보험법의 적용을 받지 않는 사업은 어떻게 산업재해보상보험에 가입할 수 있나요?,근로복지공단의 승인을 받아 산업재해보상보험에 가입할 수 있습니다. ,"산업재해보상보험법을 적용받는 사업의 사업주는 산업재해보상보험의 보험가입자가 됩니다. 산업재해보상보험법의 적용을 받지 않는 사업의 사업주는 근로복지공단의 승인을 받아 산업재해보상보험에 가입할 수 있습니다. 사업주가 산업재해보상보험의 당연가입자가 되는 사업이 사업규모의 변동 등의 사유로 산업재해보상보험법 적용 제외 사업에 해당하게 되었을 때에는 그 사업주는 그 해당하게 된 날부터 산업재해보상보험에 임의 가입한 것으로 봅니다. 당연 가입되거나 임의 가입한 사업주가 그 사업을 운영하다가 근로자를 고용하지 않게 되었을 때에는 그 날부터 1년의 범위 안에서 근로자를 사용하지 않은 기간 동안에도 산업재해보상보험에 가입한 것으로 봅니다. 산업재해보상보험 가입에 대한 자세한 사항은 산업재해보상보험Ⅰ의 산업재해보상보험법의 적용 범위 등-산업재해보상보험 가입 및 보험료 징수-산업재해보상보험 가입에서 확인할 수 있습니다. 산업재해보상보험의 수급권자는 산업재해보상보험에 가입된 사업의 산재근로자입니다. “근로자”란 직업의 종류와 관계없이 임금을 목적으로 사업이나 사업장에 근로를 제공하는 사람을 말합니다. “근로”란 정신노동과 육체노동을 말합니다. “임금”이란 사용자가 근로의 대가로 근로자에게 임금, 봉급, 그 밖에 어떠한 명칭으로든지 지급하는 모든 금품을 말합니다. 임금에 관한 자세한 사항은 이 사이트 임금에서 확인할 수 있습니다. “업무상 재해”란 업무상의 사유에 따른 근로자의 부상·질병·장해 또는 사망을 말합니다. 근로자가 업무상 사고 또는 업무상 질병으로 부상·질병 또는 장해가 발생하거나 사망하면 업무상 재해로 봅니다. "
산업폐수,산업폐수 배출시설의 설치가 제한되는 지역은 어디인가요?,취수시설이 있는 상수원보호구역ㆍ특별대책지역 및 인근지역 및 그 상류지역,"취수시설이 있는 상수원보호구역ㆍ특별대책지역 및 인근지역 및 그 상류지역으로 특정수질유해물질의 배출로 상수원의 오염에 영향이 미치는 지역은 배출시설의 설치가 제한됩니다. 환경부장관은 배출시설 설치제한 지역의 배출시설로부터 배출되는 수질오염물질로 인해 환경기준의 유지가 곤란하거나 주민의 건강·재산, 동·식물의 생육에 중대한 위해를 가져올 우려가 있다고 인정되는 경우 관할 특별시장·광역시장·특별자치시장·도지사·특별자치도지사의 의견을 듣고 관계 중앙행정기관의 장과 협의하여 배출시설의 설치를 제한할 수 있습니다. 배출시설의 설치가 제한될 수 있는 지역의 범위는 다음과 같습니다."
